origin,zone_92,zone_58,zone_96,zone_43,zone_44,zone_65,zone_71,zone_2,zone_85,zone_6,zone_34,zone_1,zone_19,zone_69,zone_77,zone_28
zone_57,481.0,,,,,,,,,,,,,,,
zone_24,,581.0,,,,,,,,,,,,,,
zone_11,,,1101.0,,,,,,,,,,,,,
zone_73,,,,1047.0,,,,,,,,,,,,
zone_54,,,,,1011.0,,,,,,,,,,,
zone_53,,,,,,813.0,,,,,,,,,,
zone_44,,,,,,,1158.0,,,,,,,,,
zone_52,,,,1492.0,,,,,,,,,,,,
zone_17,,,,,,,,641.0,,,,,,,,
zone_64,,,,,,,,,948.0,,,,,,,
zone_84,,,,,,,,,,1233.0,,,,,,
zone_56,,,,,,,,,,,859.0,,,,,
zone_46,,,,,,,,,,,,675.0,,,,
zone_70,,,,,,,,,,,,,1199.0,,,
zone_8,,,,,,,,,,,,,,1042.0,,
zone_51,,,,,,,,2189.0,,,,,,,,
zone_7,,,,,,,,,,,,,,,1094.0,
zone_63,,,,,,,,,,,,,,,,929.0
zone_4,,,,,,,1737.0,,,,,,,,,
