origin,zone_58,zone_44,zone_47,zone_43,zone_6,zone_80,zone_92,zone_97,zone_29,zone_83,zone_61,zone_67,zone_32,zone_42,zone_19,zone_71,zone_48,zone_68,zone_9,zone_2,zone_8,zone_36,zone_1,zone_53,zone_89,zone_18,zone_81,zone_95,zone_28,zone_96,zone_34,zone_75,zone_27,zone_12,zone_70,zone_39,zone_65,zone_51,zone_62,zone_82,zone_22,zone_15,zone_57,zone_84,zone_94,zone_4,zone_69,zone_87,zone_41,zone_63,zone_91,zone_46,zone_98,zone_59,zone_5,zone_40,zone_77,zone_11,zone_31,zone_60,zone_85
zone_24,1514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_54,,885.0,1874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_52,,,,1368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_77,,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_12,,,,,,1871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_35,,,,,,,761.0,614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_39,,,,,,,,,2159.0,1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_93,,,,,,,,,,,780.0,1563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_69,,,,,,,,,,,,,1210.0,565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_70,,,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_44,,,,,,,,,,,,,,,,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_20,,,,,,,,,,787.0,,,,,,,1531.0,1607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_83,,,,,,,,,,,,,,,,,,,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_17,,,,,,,,,,,,,,,,,,,,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_49,,,,,,,,,,,,,,,,,,,,,1508.0,1501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_16,,,,,,,,,,,,,,,,,,,,,,,1780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_87,,,,,,,,,,,,,,,,2054.0,,,,,,,,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_75,,,,,,,,,,,,,,,,,,,,,,,,,1727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_19,,,,,,,,,,,,,,,,,,,,,,,,,,489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_72,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_51,,,,,,,,,,,,,,,,,,,,1337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_79,,,,,,,,,,,,,,,,1463.0,1268.0,,,,,,,,,,,,1023.0,1261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_84,,,,,1743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
