stop_lon,stop_name,stop_lat,stop_id,location_type,parent_station
-0.1385354,Tse Addo,5.5876178,5010786347,0,SA5010786347
-0.1887972,Bostal,5.6064145,5030747563,0,SA5030747563
-0.1416218,Second Juction,5.5856485,5010786348,0,SA5010786348
-0.1426688,Junction,5.5843281,5010786349,0,SA5010786349
-0.2407929,Fadama,5.601748,SA4990070170,1,
-0.1962331,White Wall,5.6135692,SA5092998363,1,
-0.2326527,Drug Store,5.590827,SA5064268099,1,
-0.2114448,Kokomlemle (Pro Credit),5.5783627,SA5092998364,1,
-0.2095848,Mallam Attah Market,5.5863151,SA5039895714,1,
-0.2690014,Yellow House,5.6382209,SA5040917093,1,
-0.2376645,Free Pipe,5.5998619,4990070168,0,SA4990070168
-0.2082377,Lapaz Station,5.5840866,SA5036738889,1,
-0.234168,Welfare,5.5691119,SA5064268097,1,
-0.1675613,Home touch,5.587401,30730108,0,SA30730108
-0.1994135,Top Class,5.5964991,5039970963,0,SA5036738900
-0.2970056,Omanjor Main station,5.6388414,5041783471,0,SA5041783471
-0.2935256,School Junction,5.6367199,5041783470,0,SA5041783470
-0.25466,Curve Shiabu,5.5258184,5102890841,0,SA5102890841
-0.2567437,Shiabu,5.5253602,5102890840,0,SA5102845904
-0.298025,Omanjor,5.6477198,5041783474,0,SA5041737421
-0.2236549,Casajan,5.5816196,SA5039839197,1,
-0.231307,Immesco Rice,5.5899273,SA5039839196,1,
-0.223065,Latex Foam,5.5762839,SA5039839199,1,
-0.2232712,SSB,5.5780506,SA5039839198,1,
-0.2073193,Master Chef,5.5890703,5039970961,0,SA5036738893
-0.250826,Roman,5.6341761,5010252541,0,SA5010252541
-0.2151494,PTC,5.567761,5040173329,0,SA5040173329
-0.257078,Mataheko,5.5556049,5111784811,0,SA5111784811
-0.0301026,Ashaiman Market,5.6878209,SA5113398166,1,
-0.1611295,Sergeant Adjettey,5.5585986,SA5024136432,1,
-0.2334234,Electricity,5.534641,5026822852,0,SA5026822852
-0.2981107,Fan-Milk,5.6360717,5051365823,0,SA5051112436
-0.2981503,White House,5.6330175,5051365822,0,SA5051365822
-0.2052399,GIMPA,5.6413781,SA4981090368,1,
-0.1677564,Vet,5.5562514,SA5024136430,1,
-0.2194433,Golf Park,5.6301744,SA4981090369,1,
-0.1918167,Immigration,5.5693854,SA5113398164,1,
-0.1989184,Ministries,5.5516431,SA5113398162,1,
-0.205726,Tigo Office,5.5576005,5031322654,0,SA5005030179
-0.2335625,Abeka Total,5.597953,5014716659,0,SA5014716659
-0.2299199,Mesco,5.5907051,5014716658,0,SA5014716658
-0.2228472,Fan Milk Junction,5.5731943,5014716655,0,SA5014716655
-0.2714589,Lomnava First Curve,5.631602,5040597421,0,SA5040597421
-0.2269332,Melcom,5.5879449,5014716657,0,SA5014716657
-0.2219576,CAT,5.5951809,4990070163,0,SA4990070163
-0.2638615,Israel Junction,5.6308505,5040597424,0,SA5040597424
-0.2617423,Alhaji Station,5.6282898,5040597425,0,SA5040597425
-0.3186102,Satellite,5.7466844,5009934973,0,SA5009934973
-0.2091993,Kotobabi Down (Polo Park),5.5958129,5039908071,0,SA5039895708
-0.2073006,Five five,5.5900474,5039908070,0,SA5036738894
-0.2861678,Chairman,5.648865,5021041724,0,SA5021004842
-0.1966421,Ridge,5.5600459,5022640050,0,SA4974193125
-0.2334387,K Fori,5.6907308,SA5035642560,1,
-0.2008583,Nima Roundabout,5.5774841,5028942307,0,SA5028866874
-0.2033473,Abase,5.6165985,5111502567,0,SA5111502567
-0.1808284,Tullow,5.6217735,5111502568,0,SA5111502568
-0.1982492,Traffic,5.5826358,5028942308,0,SA5028942308
-0.1972468,Alaska (Nima Maamobi),5.5861405,SA5030980189,1,
-0.1735575,Labone,5.5629928,2961513338,0,SA2961513337
-0.2454452,JT,5.5626042,4996742720,0,SA4996742720
-0.2666686,Masalaashi Israel,5.6309433,SA5040597423,1,
-0.2217799,Accra Royal,5.5380444,4985315422,0,SA4985315422
-0.1725142,Labone,5.5621452,2961513337,0,SA2961513337
-0.2090679,Salaga Market,5.5397822,5025334219,0,SA5025334219
-0.2435332,Add a name to the stop with JungleBus app,5.5819888,SA5023802897,1,
-0.2031773,Multi Choice,5.5725479,SA5004961004,1,
-0.2172129,UTC,5.5380858,5022509201,0,SA5022509201
-0.2158582,Agbado,5.5386122,5022509200,0,SA5022509200
-0.2463636,Akoshi Junction Mamprobi,5.5355357,5022509207,0,SA5022509207
-0.2438564,Mamprobi Methodist,5.535064,5022509206,0,SA5022509206
-0.1937479,GBC First,5.5738953,SA5004961003,1,
-0.1922124,GBC Second,5.5730129,SA5004961002,1,
-0.2532018,Banana Inn Transformer,5.5408294,5022509209,0,SA5022509209
-0.2490921,St.Marys,5.5386984,5022509208,0,SA5022509208
-0.1840365,Presby,5.5592716,SA5025972752,1,
-0.2540407,Lapaz Community Hospital,5.6088407,5015015387,0,SA5015015387
-0.1292828,Rawlings Junction,5.6512389,3785166428,0,SA3785166428
-0.2038321,Ama,5.54482,SA5025972754,1,
-0.2329899,Presby,5.574691,SA5035412452,1,
-0.2076699,Jehova junction,5.5903019,SA5040089798,1,
-0.2389863,Alhadji,5.5846894,SA5035412451,1,
-0.2598571,Tabora Number2,5.6060456,5015015388,0,SA4983237013
-0.2756813,Dega Junction,5.615243,5015015389,0,SA5015015389
-0.0694091,Sakumono,5.6226239,4990644967,0,SA4990644967
-0.3496052,Rafiki,5.7449102,5064189141,0,SA5064189141
-0.2378132,Mamprobi Shell,5.5337434,5022942957,0,SA4980974768
-0.073187,Parakuo,5.6233422,4990644969,0,SA4990644969
-0.2980604,Dwenewoho Station,5.6454289,5041783473,0,SA5041783473
-0.1770963,Shangrila,5.6170869,5040135021,0,SA4974194650
-0.2132665,Circle,5.569608,SA3109291911,1,
-0.2980681,Washing Base,5.6402947,5041783472,0,SA5041783472
-0.2965362,Bridge,5.6139177,SA5051364313,1,
-0.2373407,Dome New Station,5.6605076,4990251217,0,SA4990251217
-0.2140185,Accra,5.552383,SA5035412454,1,
-0.277084,Mallam,5.5855914,SA5051364310,1,
-0.2966621,Anyah,5.6073548,SA5155607283,1,
-0.2135911,Merciful Hotel,5.5985535,5082556331,0,SA5082556331
-0.2003886,Bayere Junction,5.6113178,SA5047020128,1,
-0.1772453,Airport First,5.6080818,4997374747,0,SA30729987
-0.1134111,Trasacco,5.6471725,SA5116037042,1,
-0.1854895,37 Water Works,5.5825313,4997374744,0,SA4997374744
-0.2004833,Cemetry,5.6940987,SA5113124882,1,
