route_id,trip_id,service_id,shape_id,direction_id,trip_headsign
7589525,344,0,7589522,0,Nima Overhead Maamobi
7437148,0,0,7437119,0,Amasaman
7435747,346,0,7435456,0,Ashaiman Main Station
7435747,347,0,7435650,1,Abeka Lapaz
7476946,340,0,7476945,0,Nima
7476946,341,0,7476928,1,Circle
7472304,342,0,7472286,0,Nima Mamobi
7472304,343,0,7472219,1,Ashiaman
7518975,348,0,7518920,0,Ashiaman
7518975,349,0,7518969,1,Abeka Lapaz
7582949,298,0,7582938,0,Mallam Attah
7582949,299,0,7582921,1,Kotobabi Down/Polo park
7477772,296,0,7477758,0,Mallam Atta
7477772,297,0,7477561,1,Achimota
7477513,294,0,7477507,0,Legon
7477513,295,0,7477090,1,Dome
7445275,292,0,7445185,0,Agape
7445275,293,0,7445272,1,Abeka Lapaz
7481124,290,0,7481044,0,Yellow House
7481124,291,0,7481118,1,Abeka Lapaz
7406253,199,0,7406251,1,Kaneshie
7406253,198,0,7406252,0,Shalom
7445109,195,0,7445107,1,Abeka Main Market
7445109,194,0,7444960,0,Circle Industrial Area
7422818,197,0,7422797,1,Kaneshie
7422818,196,0,7422764,0,Russia
7423611,191,0,7423604,1,Kaneshie
7423611,190,0,7423593,0,Mamprobi Alhaji
7424983,193,0,7424841,1,Kaneshie
7424983,192,0,7423715,0,New town
7484467,270,0,7484395,0,Adenta
7484467,271,0,7484459,1,Abeka Lapaz
7480604,272,0,7480574,0,Alhaji
7480604,273,0,7480603,1,Abeka Lapaz
7499803,274,0,7499756,0,Ashaiman
7499803,275,0,7499799,1,Abeka Lapaz
7480899,276,0,7480775,0,Lomnava
7480899,277,0,7480897,1,Abeka Lapaz
7483085,278,0,7482996,0,Madina
7483085,279,0,7483083,1,Abeka Lapaz
7452139,524,0,7452016,0,Kuntunse/Satelite
7452139,525,0,7452112,1,Achimota
7541690,526,0,7541588,0,Akweteman Zongo
7541690,527,0,7541688,1,Achimota
7453025,520,0,7452960,0,Adenta Station
7453025,521,0,7453016,1,Achimota
7519069,522,0,7519008,0,Adjiringanor
7519069,523,0,7519055,1,Achimota
7453712,528,0,7453599,0,Asofan
7453712,529,0,7453708,1,Achimota
7443816,449,0,7443807,1,Abeka Lapaz
7443816,448,0,7443792,0,Korle Bu
7571475,443,0,7571472,1,Accra Salaga
7571475,442,0,7571466,0,Chemuna
7459958,441,0,7459937,1,Accra Rawlings Park
7459958,440,0,7459883,0,Osu Penta Hotel
7459283,447,0,7459274,1,Accra Salaga
7459283,446,0,7459269,0,Camara
7571419,445,0,7571392,1,Accra Salaga
7571419,444,0,7571363,0,Appiah Danquah
7473856,108,0,7473852,0,Circle Overhead
7473856,109,0,7473851,1,Abeka Lapaz
7473841,102,0,7473839,0,Circle
7473841,103,0,7473677,1,Accra New Tema Station
7418804,100,0,7418634,0,Tema (Motorway)
7418804,101,0,7418705,1,Circle
7604967,106,0,7604961,0,Circle Lido
7604967,107,0,7604910,1,Abeka Lapaz
7452837,104,0,7452793,0,Circle
7452837,105,0,7452834,1,WAEC
7546845,39,0,7546841,1,Arena
7546845,38,0,7546832,0,Kaneshie
7546726,33,0,7546702,1,Alajo Junction
7546726,32,0,7546679,0,Kotobabi Police Station
7475836,31,0,7475834,1,Alajo
7475836,30,0,7475767,0,Circle
7476180,37,0,7476011,1,Accra New Tema Station
7476180,36,0,7476130,0,Apapa
7440787,35,0,7440783,1,Abeka Lapaz
7440787,34,0,7440716,0,Sapeiman
7573256,438,0,7573166,0,Nungua Authority
7573256,439,0,7573254,1,Accra Rawlings Park
7573493,436,0,7573398,0,La Olympia
7573493,437,0,7573423,1,Accra Rawlings Park
7598186,434,0,7598052,0,Sakaman Blue Lagoon
7598186,435,0,7598170,1,Accra Rawlings Park
7573629,432,0,7573602,0,Mamprobi
7573629,433,0,7573618,1,Accra Post Office
7421719,430,0,7421169,0,Kaneshie
7421719,431,0,7421637,1,Abeka Lapaz
7589313,339,0,7589111,1,Ashaiman
7589313,338,0,7589307,0,Nima
7477058,335,0,7477057,1,Accra New Town
7477058,334,0,7477001,0,Nima Maamobi
7588801,337,0,7588716,1,Accra
7588801,336,0,7588792,0,Nima
7477085,331,0,7477084,1,Accra New Town
7477085,330,0,7477078,0,Madina
7456425,333,0,7456423,1,Abeka Lapaz
7456425,332,0,7456407,0,Antie-Eku Pallas Town
7589525,345,0,7589438,1,Achimota Terminal
7474831,6,0,7474787,0,Mallam Attah
7471831,99,0,7471821,1,Circle
7471831,98,0,7471704,0,Teachers Hall
7471406,91,0,7471405,1,Circle
7471406,90,0,7471386,0,Ridge Hospital
7471624,93,0,7471608,1,Circle
7471624,92,0,7471482,0,Stadium
7418569,95,0,7418496,1,Circle
7418569,94,0,7418430,0,Swanlake Last Stop
7441993,97,0,7441989,1,Abeka Lapaz
7441993,96,0,7441963,0,Dome
7425145,551,0,7425044,1,Ashaiaman
7425145,550,0,7425103,0,Circle Overhead
7563457,553,0,7563449,1,Abeka Lapaz
7563457,552,0,7563404,0,Sowutuom
7499299,238,0,7499292,0,Korle Bu
7499299,239,0,7499245,1,Darkuman
7580705,234,0,7580677,0,Mallam
7580705,235,0,7580704,1,Korle Bu
7462998,236,0,7462990,0,Kaneshie
7462998,237,0,7462792,1,Dansoman
7462415,230,0,7462285,0,Kasoa
7462415,231,0,7462383,1,Korle Bu
7559533,232,0,7559376,0,Kwashieman/Santa Maria
7559533,233,0,7559519,1,Korle Bu
7437148,1,0,7437138,1,Abeka Lapaz
7488778,146,0,7488728,0,Santa Maria
7488778,147,0,7488767,1,Dansoman
7426651,144,0,7425735,0,Odorkor
7426651,145,0,7426645,1,Dansoman
7498588,142,0,7498573,0,Circle Overhead
7498588,143,0,7498362,1,Bawaleshie
7499300,140,0,7496999,0,Nyamekye
7499300,141,0,7499295,1,Dansoman
7552568,148,0,7552566,0,Darkuman
7552568,149,0,7552552,1,Agbogbloshie
7498005,133,0,7497752,1,Achimota
7498005,132,0,7497987,0,Dansoman
7480162,131,0,7480160,1,Accra CMB
7480162,130,0,7480068,0,Weija
7552498,137,0,7552443,1,Awoshie
7552498,136,0,7552492,0,Dansoman
7552156,135,0,7552018,1,Arena
7552156,134,0,7552151,0,Dansoman
7496962,494,0,7496940,0,Race Course
7496962,495,0,7407962,1,Abeka Lapaz
7501043,139,0,7498111,1,Circle
7501043,138,0,7498214,0,Dansoman
7585190,490,0,7585174,0,Zongo Junction
7585190,491,0,7585106,1,Korle Bu
7458538,492,0,7458464,0,Osu
7458538,493,0,7458534,1,Abeka Lapaz
7542142,24,0,7542086,0,Teshie-Nungua
7542142,25,0,7542139,1,Achimota
7416167,26,0,7416050,0,Dome Kwabenya
7416167,27,0,7416141,1,Abeka Lapaz
7499479,20,0,7499451,0,Tema
7499479,21,0,7499478,1,Achimota
7542061,22,0,7541972,0,Accra New Tema Station
7542061,23,0,7542012,1,Achimota
7475647,28,0,7475602,0,Kaneshie
7475647,29,0,7475644,1,Akoto Lante
7574301,407,0,7573640,1,American House
7574301,406,0,7573652,0,Okponglo
7597906,405,0,7597854,1,Accra New Tema Station
7597906,404,0,7597893,0,Odorkor
7597729,403,0,7597691,1,Odorkor
7597729,402,0,7597657,0,South Odorkor
7461761,401,0,7461708,1,Odorkor
7461761,400,0,7461665,0,Official Town
7575488,409,0,7575476,1,Bawaleshie
7575488,408,0,7575482,0,Okponglo
7463740,379,0,7463559,1,Agblezah
7463740,378,0,7463689,0,Odorna
7466926,371,0,7466879,1,Madina
7466926,370,0,7466923,0,Nima Station
7466637,373,0,7466632,1,Nima Station
7466637,372,0,7466448,0,Nyaho
7463990,375,0,7463965,1,Accra New Tema Station
7463990,374,0,7463937,0,Cantonments
7594941,377,0,7594887,1,Accra New Tema Station
7594941,376,0,7594940,0,Nima Station
7457677,393,0,7457668,1,Abeka Lapaz
7457677,392,0,7457497,0,Bubiashie
7471365,88,0,7471344,0,Osu RE
7471365,89,0,7471361,1,Circle
7586940,397,0,7586649,1,Anyah
7586940,396,0,7586875,0,Odorkor
7462969,395,0,7462917,1,Circle Odorna
7462969,394,0,7462748,0,Korle Bu
7551952,82,0,7551926,0,Orgle Road
7551952,83,0,7551948,1,Circle
7467971,80,0,7467968,0,Novotel
7467971,81,0,7467970,1,Circle
